CODIGO_ENTIDAD|NOMBRE|TIPO_GESTION|ESTADO_LICENCIAMIENTO|PERIODO_LICENCIAMIENTO|DEPARTAMENTO_LOCAL|PROVINCIA_LOCAL|DISTRITO_LOCAL|LATITUD_UBICACION|LONGITUD_UBICACION
016|UNIVERSIDAD NACIONAL DE CAJAMARCA|PÚBLICO|LICENCIA OTORGADA|6|CAJAMARCA|CAJAMARCA|CAJAMARCA|-7.167159|-78.4965043
109|UNIVERSIDAD PERUANA DE ARTE ORVAL S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|SAN BORJA|-12.1108862|-76.9912619
067A|UNIVERSIDAD CONTINENTAL S.A.C.|PRIVADO|LICENCIA OTORGADA|6|JUNÍN|HUANCAYO|HUANCAYO|-12.0474789|-75.1990181
041|UNIVERSIDAD NACIONAL DE TUMBES|PÚBLICO|LICENCIA OTORGADA|6|TUMBES|TUMBES|TUMBES|-3.585267|-80.443305
070|UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO S.A.C.|PRIVADO|CON INFORME DE REVISIÓN DOCUMENTARIA (IRD)|0|CAJAMARCA|CAJAMARCA|CAJAMARCA|-7.156522|-78.5145522
144|UNIVERSIDAD GLOBAL DEL CUSCO S.A.C.|PRIVADO|LICENCIA DENEGADA|0|CUSCO|CUSCO|CUSCO|-13.5242195|-71.9436937
149|FACULTAD DE TEOLOGÍA PONTIFICIA Y CIVIL DE LIMA|PRIVADO|CON INFORME DE OBSERVACIONES (IO) NOTIFICADO|0|LIMA|LIMA|PUEBLO LIBRE|-12.0836439|-77.0692178
143|UNIVERSIDAD PRIVADA PERUANO ALEMANA S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|CHORRILLOS|-8.1150054|-79.0319286
104|UNIVERSIDAD LE CORDON BLEU S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|MAGDALENA DEL MAR|-12.0985893|-77.05636
006|UNIVERSIDAD NACIONAL DE INGENIERÍA|PÚBLICO|LICENCIA OTORGADA|10|LIMA|LIMA|RÍMAC|-12.0220074|-77.0493646
038|UNIVERSIDAD PERUANA UNIÓN|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|LURIGANCHO|-11.989087|-76.839662
083|UNIVERSIDAD PRIVADA TELESUP S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|LIMA|-12.0640089|-77.0345749
141|UNIVERSIDAD MARÍTIMA DEL PERÚ S.A.C.|PRIVADO|LICENCIA DENEGADA|0|CALLAO|PROV. CONST. DEL CALLAO|CALLAO|-12.0614969|-77.1471769
018|UNIVERSIDAD DE LIMA|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|SANTIAGO DE SURCO|-12.0847243|-76.9710095
005|UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA|PÚBLICO|LICENCIA OTORGADA|10|AREQUIPA|AREQUIPA|AREQUIPA|-16.4027681|-71.5255001
