genre,author,series,title,pub_year
Novel,Frank Herbert,Original,Dune,1965
Novel,Frank Herbert,Original,Dune Messiah,1969
Novel,Frank Herbert,Original,Children of Dune,1976
Novel,Frank Herbert,Original,God Emperor of Dune,1981
Novel,Frank Herbert,Original,Heretics of Dune,1984
Novel,Frank Herbert,Original,Chapterhouse: Dune,1985
Novel,Brian Herbert/Kevin J. Anderson,Prelude to Dune,House Atreides,1999
Novel,Brian Herbert/Kevin J. Anderson,Prelude to Dune,House Harkonnen,2000
Novel,Brian Herbert/Kevin J. Anderson,Prelude to Dune,House Corrino,2001
Novel,Brian Herbert/Kevin J. Anderson,Legends of Dune,The Butlerian Jihad,2002
Novel,Brian Herbert/Kevin J. Anderson,Legends of Dune,The Machine Crusade,2003
Novel,Brian Herbert/Kevin J. Anderson,Legends of Dune,The Battle of Corrin,2004
Novel,Brian Herbert/Kevin J. Anderson,,Hunters of Dune,2006
Novel,Brian Herbert/Kevin J. Anderson,,Sandworms of Dune,2007
Novel,Brian Herbert/Kevin J. Anderson,Heroes of Dune,Paul of Dune,2008
Novel,Brian Herbert/Kevin J. Anderson,Heroes of Dune,The Winds of Dune,2009
Novel,Brian Herbert/Kevin J. Anderson,Great Schools of Dune,Sisterhood of Dune,2012
Novel,Brian Herbert/Kevin J. Anderson,Great Schools of Dune,Mentats of Dune,2014
Novel,Brian Herbert/Kevin J. Anderson,Great Schools of Dune,Navigators of Dune,2016
Short story,Frank Herbert,,The Road to Dune,1985
Short story,Brian Herbert/Kevin J. Anderson,,A Whisper of Caladan Seas,2001
Short story,Brian Herbert/Kevin J. Anderson,,Hunting Harkonnens,2002
Short story,Brian Herbert/Kevin J. Anderson,,Whipping Mek,2003
Short story,Brian Herbert/Kevin J. Anderson,,The Faces of a Martyr,2004
Short story,Brian Herbert/Kevin J. Anderson,,Sea Child,2006
Short story,Brian Herbert/Kevin J. Anderson,,Treasure in the Sand,2006
Short story,Brian Herbert/Kevin J. Anderson,,Wedding Silk,2011
Short story,Brian Herbert/Kevin J. Anderson,,Red Plague,2016


